device_codename,brand,Retail Branding,Marketing Name,Device,oem,model,network_technology,network_2g_bands,network_gprs,network_edge,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,display,memory_card_slot,memory_phonebook,memory_call_records,sound_loudspeaker,sound_alert_types,sound_3.5mm_jack,comms_wlan,comms_bluetooth,comms_gps,comms_radio,comms_usb,features_sensors,features_messaging,features_browser,features_clock,features_alarm,features_games,features_java,features,misc_colors,network_3g_bands,network_speed,platform_os,platform_chipset,platform_cpu,platform_gpu,memory_internal,main_camera_single,main_camera_video,misc_price,main_camera_features,body,network_4g_bands,body_build,display_protection,memory,main_camera_dual,selfie_camera_dual,selfie_camera_features,selfie_camera_video,comms_nfc,battery_charging,misc_models,tests_performance,tests_camera,tests_loudspeaker,tests_audio_quality,tests_battery_life,tests_display,selfie_camera_single,comms_infrared_port,network_5g_bands,main_camera_quad,main_camera_triple,sound,misc_sar_eu,main_camera_five,features_languages,body_keyboard,misc_sar,battery,main_camera_dual_or_triple,battery_music_play,selfie_camera_triple,main_camera_v1,selfie_camera,camera,main_camera,network,battery_talk_time,battery_stand.by
s5513ap,WIKO,Wiko,Ridge 4G,s5513ap,Wiko,Ridge 4G,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, February","Available. Released 2015, March",143 x 72 x 7.5 mm (5.63 x 2.83 x 0.30 in),125 g (4.41 oz),"Hybrid Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~66.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 64 GB (uses shared SIM slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,,,,,,"Black Grey, Black Bleen, Black Clementine, Arctic Gold",HSDPA 900 / 1900 / 2100,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Android 4.4.4 (KitKat),Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,Adreno 306,"16 GB, 2 GB RAM","13 MP, AF",1080p@30fps,,"LED flash, HDR",,"LTE band 1(2100), 3(1800), 7(2600), 20(800)",,Corning Gorilla Glass 3,,,,,720p@30fps,,,,,,,,,,5 MP,,,,,,0.29 W/kg (head)     0.57 W/kg (body)    ,,,,,Non-removable Li-Po 2400 mAh battery,,,,,,,,,Up to 17 h (2G) / Up to 14 h 40 min (3G),Up to 247 h (2G) / Up to 247 h (3G)
hwH30-U10,Huawei,Honor,3C,hwH30-U10,Honor,3C,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2013, December. Released 2013, December",Discontinued,139.5 x 71.4 x 9.2 mm (5.49 x 2.81 x 0.36 in),140 g (4.94 oz),"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~69.2% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,,,,,,White/Black,HSDPA 2100,HSPA,Android 4.2.2 (Jelly Bean); EMUI Lite 2,Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,"8 GB, 2 GB RAM","8 MP, f/2.0, 28mm (wide), AF",1080p@30fps,About 140 EUR,LED flash,,,,,,,,,,,,"H30-T00, H30-U10",,,,,,,"5 MP, f/2.4, 22mm (wide)",,,,,Active noise cancellation with dedicated mic,,,,,,Removable Li-Po 2300 mAh battery,,,,,,,,,,
htc_himauhl,htc,HTC,One M9,htc_himauhl,HTC,One M9,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, March","Available. Released 2015, March",144.6 x 69.7 x 9.6 mm (5.69 x 2.74 x 0.38 in),157 g (5.54 oz),Nano-SIM,"Super LCD3 capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~68.4% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,"microSD, up to 256 GB (dedicated slot)",,,"Yes, with stereo speakers",,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","4.1, A2DP, aptX","Yes, with A-GPS, GLONASS","Stereo FM radio, RDS","microUSB 2.0 (MHL 3.0 TV-out), USB Host","Accelerometer, gyro, proximity, compass",,,,,,,,"Gunmetal Gray, Amber Gold, Silver/Rose gold, Gold/Pink, Pink",HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/21.1 Mbps, LTE-A Cat6 300/50 Mbps","Android 5.0 (Lollipop), upgradable to 7.0 (Nougat); Sense UI 7",Qualcomm MSM8994 Snapdragon 810 (20 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57),Adreno 430,"32 GB, 3 GB RAM","20 MP, f/2.2, 28mm (wide), 1/2.4"", 1.2µm, AF","2160p@30fps, 1080p@60fps, 720p@120fps, HDR, stereo sound rec.",About 360 EUR,"Dual-LED dual-tone flash, HDR, panorama",,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300), 41(2500)",Aluminum body,Corning Gorilla Glass 3,,,,HDR,1080p@30fps,Yes,Fast battery charging 18W (Quick Charge 2.0),"One M9, M9u",Basemark OS II: 1526 / Basemark OS II 2.0: 1365Basemark X: 19848,Photo / Video,Voice 65dB / Noise 64dB / Ring 76dB,Noise -94.8dB / Crosstalk -93.7dB,Endurance rating 62h,"Contrast ratio: 1221:1 (nominal), 2.334 (sunlight)","4 MP, f/2.0, 27mm (wide), 1/3"", 2µm",Yes,,,,24-bit/192kHz audio  Active noise cancellation with dedicated mic,,,,,,Non-removable Li-Po 2840 mAh battery,,,,,,,,,Up to 25 h 20 min (2G) / Up to 21 h 50 min (3G),Up to 391 h (2G) / Up to 402 h (3G)
z2_plus_hw,ZUK,Lenovo,ZUK Z2,z2_plus_hw,Lenovo,ZUK Z2,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2016, May","Available. Released 2016, June",141.7 x 68.9 x 8.5 mm (5.58 x 2.71 x 0.33 in),149 g (5.26 oz),"Dual SIM (Nano-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~70.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",Always-on display,No,,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, DLNA, hotspot","4.1, A2DP, LE, EDR","Yes, with A-GPS, GLONASS, BDS",No,"2.0, Type-C 1.0 reversible connector","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",,,,,,,,"Titanium Black, Ceramic White",HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps","Android 6.0.1 (Marshmallow), upgradable to Android 8.0 (Oreo); ZUI 2.5",Qualcomm MSM8996 Snapdragon 820 (14 nm),Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),Adreno 530,"64 GB, 4 GB RAM or 32 GB, 3 GB RAM","13 MP, f/2.2, 1/2.6"", 1.34µm, PDAF","2160p@30fps, 1080p@30fps, 720p@120fps",About 220 EUR,"LED flash, HDR, panorama",,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 38(2600), 39(1900), 40(2300), 41(2500)",Front/back glass & aluminum frame,,,,,,1080p@30fps,,,"ZUK Z2132, ZUK Z2131, Z2 Plus",,,,,,,"8 MP, f/2.0, 1/3.2"", 1.4µm",,,,,24-bit/192kHz audio  Active noise cancellation with dedicated mic,,,,,,Non-removable Li-Po 3500 mAh battery,,,,,,,,TD-SCDMA,,
C1-S02,Coolpad,Coolpad,C1-S02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0001,oneplus,OnePlus,One,A0001,OnePlus,One,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, April. Released 2014, June",Discontinued,152.9 x 75.9 x 8.9 mm (6.02 x 2.99 x 0.35 in),162 g (5.71 oz),Micro-SIM,"LTPS IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~71.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",CyanogenMod 13  Oxygen 2.1.4,No,,,"Yes, dual mono speakers",,Yes,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, DLNA, hotspot","4.1, A2DP","Yes, with A-GPS, GLONASS",No,"microUSB 2.0, USB Host","Accelerometer, gyro, proximity, compass",,,,,,,ANT+,"Silk White, Sandstone Black",HSDPA 850 / 900 / 1700 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Android 4.4.2 (KitKat), upgradable to 6.0.1 (Marshmallow)",Qualcomm MSM8974AC Snapdragon 801 (28 nm),Quad-core 2.5 GHz Krait 400,Adreno 330,"16/64 GB, 3 GB RAM","13 MP, f/2.0, 1/3"", 1.12µm, AF","2160p@30fps, 2160p(DCI)@24fps, 1080p@60fps, 720p@120fps, HDR, stereo sound rec.",About 250 EUR,"Dual-LED flash, panorama, HDR",,"LTE band 1(2100), 3(1800), 4(1700/2100), 7(2600), 17(700), 38(2600), 40(2300)",Plastic body,Corning Gorilla Glass 3,,,,,720p@30fps,Yes,,A0001,Basemark OS II: 1196 / Basemark OS II 2.0: 1230Basemark X: 13129,Photo / Video,Voice 74dB / Noise 73dB / Ring 80dB,Noise -94.1dB / Crosstalk -94.3dB,Endurance rating 66h,"Contrast ratio: 799 (nominal), 1.961 (sunlight)","5 MP, f/2.0",,,,,Active noise cancellation with dedicated mic,,,,,0.62 W/kg (head)     0.75 W/kg (body)    ,Non-removable Li-Po 3100 mAh battery,,,,,,,,,,
gt5note8lte,samsung,Samsung,Galaxy Tab A 8.0,gt5note8lte,Samsung,Galaxy Tab A 8.0,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, March","Available. Released 2015, May",208.3 x 137.9 x 7.4 mm (8.20 x 5.43 x 0.29 in),313 g (11.04 oz),Micro-SIM,"TFT capacitive touchscreen, 16M colors","8.0 inches, 198.2 cm (~69.0% screen-to-body ratio)","768 x 1024 pixels, 4:3 ratio (~160 ppi density)",,"microSD, up to 256 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, WiFi Direct, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS",No,microUSB 2.0,Accelerometer,,,,,,,,"Smoky Titanium, Smoky Blue, White",HSDPA,"HSPA, LTE",Android 5.0 (Lollipop),,Quad-core 1.2 GHz,,"16 GB, 1.5 GB RAM (Wi-Fi)32 GB, 2 GB RAM (LTE)","5 MP, AF",720p,About 210 EUR,,,LTE,,,,,,,,,,,,,,,,,2 MP,,,,,,0.12 W/kg (head)     0.98 W/kg (body)    ,,,,,Non-removable Li-Ion 4200 mAh battery,,Up to 120 h,,,,,,,Up to 11 h (3G),
SO-03F,docomo,Sony,Xperia Z2,SO-03F,Sony,Xperia Z2,GSM / HSPA / LTE,"GSM 850 / 900 / 1800 / 1900 - D6502, D6503, D6543",Up to 107 kbps,Up to 296 kbps,"2014, February","Available. Released 2014, April",146.8 x 73.3 x 8.2 mm (5.78 x 2.89 x 0.32 in),163 g (5.75 oz),Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm (~69.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",Triluminos display  X-Reality Engine,"microSD, up to 256 GB (dedicated slot)",,,"Yes, with stereo speakers",,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP, aptX","Yes, with A-GPS, GLONASS","FM radio, RDS","microUSB 2.0 (MHL TV-out), USB Host; magnetic connector","Accelerometer, gyro, proximity, compass, barometer",,,,,,,ANT+,"Black, White, Purple (D6502, D6503) / Black, White (D6543)","HSDPA 850 / 900 / 1700 / 1900 / 2100 - D6502, D6503, D6543","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Android 4.4.2 (KitKat), upgradable to 6.0 (Marshmallow)",Qualcomm MSM8974AB Snapdragon 801 (28 nm),Quad-core 2.3 GHz Krait 400,Adreno 330,"16 GB, 3 GB RAM","20.7 MP, f/2.0, 1/2.3"", 1.12µm, AF","2160p@30fps, 1080p@60fps, 720p@120fps, HDR",About 260 EUR,"LED flash, HDR, panorama",IP58 dust proof and water resistant over 1.5 meter and 30 minutes,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 13(700), 17(700), 20(800) - D6503","Front/back glass, aluminum frame",Shatter proof glass,,,,,1080p@30fps,Yes,Fast battery charging 18W (Quick Charge 2.0) - Japan only,"D6503, D6502, SO-03F",Basemark OS II: 1080,Photo / Video,Voice 66dB / Noise 64dB / Ring 75dB,Noise -88.2dB / Crosstalk -88.9dB,Endurance rating 89h,"Contrast ratio: 1195 (nominal), 1.944 (sunlight)",2.2 MP,,,,,Active noise cancellation with dedicated mic,0.38 W/kg (head)    ,,,,1.34 W/kg (head)     0.82 W/kg (body)    ,Non-removable Li-Ion 3200 mAh battery,,Up to 120 h,,,,,,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900) - D6543",Up to 15 h (2G) / Up to 19 h (3G),Up to 690 h (2G) / Up to 740 h (3G)
SCL24,KDDI,Samsung,Galaxy Note Edge,SCL24,Samsung,Galaxy Note Edge,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2014, September","Available. Released 2014, November",151.3 x 82.4 x 8.3 mm (5.96 x 3.24 x 0.33 in),174 g (6.14 oz),Micro-SIM,"Super AMOLED capacitive touchscreen, 16M colors","5.6 inches, 96.2 cm (~77.2% screen-to-body ratio)","1600 x 2560 pixels, 16:10 ratio (~524 ppi density)",Curved edge screen,"microSD, up to 256 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, EDR, LE","Yes, with A-GPS, GLONASS, BDS",No,"microUSB 2.0 (MHL 3 TV-out), USB Host","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, UV, heart rate, SpO2",,,,,,,ANT+  S-Voice natural language commands and dictation  Air gestures,"Black, White",HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat6 300/50 Mbps or Cat4 150/50 Mbps","Android 4.4.4 (KitKat), upgradable to 6.0 (Marshmallow)",Qualcomm APQ8084 Snapdragon 805 (28 nm),Quad-core 2.7 GHz Krait 450,Adreno 420,"32/64 GB, 3 GB RAM","16 MP, f/2.2, 31mm (standard), 1/2.6"", 1.12µm, OIS, AF","2160p@30fps, 1080p@60fps, 720p@120fps, dual-video rec.",About 300 EUR,"LED flash, panorama, HDR",Stylus,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 28(700) - SM-N915G","Aluminum frame, plastic back",Corning Gorilla Glass 3,,,,,1440p@30fps,Yes,Fast battery charging 15W (Quick Charge 2.0),"SM-N9150, SM-N915A, SM-N915D, SM-N915F, SM-N915FY, SM-N915G, SM-N915K, SM-N915L, SM-N915P, SM-N915R4, SM-N915S, SM-N915T, SM-N915V, SM-N915W8, SM-N915X",Basemark OS II: 1260 / Basemark OS II 2.0: 1255Basemark X: 17108,Photo / Video,Voice 72dB / Noise 75dB / Ring 70dB,Noise -95.9dB / Crosstalk -93.3dB,Endurance rating 68h,"Contrast ratio: Infinite (nominal), 3.799 (sunlight)","3.7 MP, f/1.9",Yes,,,,Active noise cancellation with dedicated mic,0.24 W/kg (head)     0.33 W/kg (body)    ,,,,,Removable Li-Ion 3000 mAh battery,,Up to 67 h,,,,,,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 17(700) - SM-N915T",Up to 18 h (3G),
helium,Xiaomi,Xiaomi,Mi Max,helium,Xiaomi,Mi Max,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2016, May","Available. Released 2016, May",173.1 x 88.3 x 7.5 mm (6.81 x 3.48 x 0.30 in),203g (7.16 oz),"Hybrid Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.44 inches, 114.3 cm (~74.8% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~342 ppi density)",,"microSD, up to 256 GB (uses SIM 1 slot)",,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, BDS","FM radio, recording","microUSB 2.0, USB Host","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,,,,,,,"Gray, Silver, Gold",HSDPA 850 / 900 / 1900 / 2100,"HSPA, LTE","Android 6.0 (Marshmallow), upgradable to 7.0 (Nougat); MIUI 10",Qualcomm MSM8956 Snapdragon 650Qualcomm MSM8976 Snapdragon 652 (28 nm) - Prime model,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A72)Octa-core (4x1.4 GHz Cortex-A53 & 4x1.8 GHz Cortex-A72),Adreno 510,"16 GB, 2 GB RAM; 32/64 GB, 3 GB RAM128 GB, 4 GB RAM - Prime model","16 MP, PDAF, f/2.0","2160p@30fps, 1080p@30fps, 720p@120fps",About 150 EUR,"Dual-LED dual-tone flash, panorama, HDR",,"LTE band 1(2100), 3(1800), 7(2600), 38(2600), 39(1900), 40(2300), 41(2500)","Front glass, aluminum body",Corning Gorilla Glass 4,,,,,1080p@30fps,,,MI MAX,Basemark OS II 2.0: 1362 / Basemark X: 15487,Photo / Video,Voice 67dB / Noise 66dB / Ring 68dB,Noise -93.5dB / Crosstalk -93.8dB,Endurance rating 108h,"Contrast ratio: 922 (nominal),  1.996 (sunlight)","5 MP, f/2.0",Yes,,,,Active noise cancellation with dedicated mic,,,,,0.84 W/kg (head)     0.63 W/kg (body)    ,Non-removable Li-Ion 4850 mAh battery,,,,,,,,TD-SCDMA,,
EVERCOSS A7B,EVERCOSS A7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
j23g,samsung,Samsung,Galaxy J2,j23g,Samsung,Galaxy J2,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, September","Available. Released 2015, September",136.5 x 69 x 8.4 mm (5.37 x 2.72 x 0.33 in),129 g (4.55 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm (~64.7% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~234 ppi density)",,"microSD, up to 256 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Yes, with A-GPS, GLONASS","FM radio, RDS, recording","microUSB 2.0, USB On-The-Go","Accelerometer, proximity",,,,,,,,"White, Black, Gold","HSDPA 850 / 900 / 1900 / 2100 - J200G, J200GU, J200F, J200Y","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",Android 5.1.1 (Lollipop),Exynos 3475 Quad (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-T720,"8 GB, 1 GB RAM","5 MP, AF, f/2.2",720p@30fps,About 150 EUR,LED flash,,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800) - J200F",Plastic body,,,,,,,Yes (market dependent),,"SM-J200F, SM-J200G, SM-J200H, SM-J200GU",Basemark OS II: 360 / Basemark X: 1683,Photo / Video,Voice 67dB / Noise 64dB / Ring 75dB,,Endurance rating 67h,,"2 MP, f/2.2",,,,,,0.57 W/kg (head)     0.45 W/kg (body)    ,,,,1.18 W/kg (head)     1.27 W/kg (body)    ,Removable Li-Ion 2000 mAh battery,,Up to 41 h,,,,,,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 28(700) - J200Y",Up to 11 h (3G),
A850_ROW,Lenovo,Lenovo,A850,A850_ROW,Lenovo,A850,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2013, August. Released 2013, August",Discontinued,153.5 x 79.3 x 9.5 mm (6.04 x 3.12 x 0.37 in),184 g (6.49 oz),"Dual SIM (Mini-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~68.5% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~200 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,,,,,,"Black, White",HSDPA 900 / 2100,HSPA,Android 4.2.2 (Jelly Bean),Mediatek MT6582M (28 nm),Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,"4 GB, 1 GB RAM","5 MP, AF",Yes,About 150 EUR,LED flash,,,,,,,,,,,,,,,,,,,VGA,,,,,,,,,,,Removable Li-Po 2250 mAh battery,,,,,,,,HSDPA 850 / 1900,Up to 28 h 40 min (2G) / Up to 14 h 30 min (3G),Up to 490 h (2G) / Up to 490 h (3G)
EG98,Smartfren,Hisense,EG98,EG98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z1,SPC,SPC,Z1,Z1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vee4ds,lge,LG,Optimus L4 II Dual E445,vee4ds,LG,Optimus L4 II Dual E445,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Class 12,Class 12,"2013, June. Released 2013, July",Discontinued,112.8 x 64.7 x 11.9 mm (4.44 x 2.55 x 0.47 in),125 g (4.41 oz),Dual SIM (dual stand-by),"IPS LCD capacitive touchscreen, 16M colors","3.8 inches, 43.0 cm (~58.9% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~152 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, hotspot","3.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,,,,,,"Black, White",HSDPA 900 / 2100,HSPA 7.2/5.76 Mbps,Android 4.1.2 (Jelly Bean),Mediatek MT6575 (40 nm),1.0 GHz Cortex-A9,PowerVR SGX531,"4 GB, 512 MB RAM",3.15 MP,480p@30fps,About 110 EUR,LED flash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Removable Li-Ion 1700 mAh battery,,,,,No,,,,Up to 10 h 30 min,Up to 652 h
Cynus_F10,Mobistel,Mobistel,Cynus F10,Cynus_F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLYMER_X,POLYMER_X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surnia_umts,motorola,Motorola,Moto E (2nd gen),surnia_umts,Motorola,Moto E (2nd gen),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - all versions,Yes,Yes,"2015, February","Available. Released 2015, February",129.9 x 66.8 x 12.3 mm (5.11 x 2.63 x 0.48 in),145 g (5.11 oz),Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm (~64.3% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~245 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, LE, aptX","Yes, with A-GPS, GLONASS","FM radio, RDS","microUSB 2.0, USB Host","Accelerometer, proximity",,,,,,,,"Black, White","HSDPA 850 / 1700(AWS) / 1900 - XT1527, XT1511","HSPA, LTE","Android 5.0/5.1 (Lollipop) - only XT1527, upgradable to 6.0 (Marshmallow)",Qualcomm Snapdragon 200 (28 nm) - 3G modelQualcomm Snapdragon 410 (28 nm) - LTE model,Quad-core 1.2 GHz Cortex-A7 - 3G modelQuad-core 1.2 GHz Cortex-A53 - LTE model,Adreno 302 - 3G modelAdreno 306 - LTE model,"8 GB, 1 GB RAM","5 MP, AF, f/2.2",720p@30fps,About 130 EUR,"Panorama, HDR",,"LTE band 2(1900), 4(1700/2100), 5(850), 7(2600), 17(700) - XT1527",,"Corning Gorilla Glass 3, oleophobic coating",,,,,,,,"XT1527, XT1511, XT1505, XT1524, MotoE2(4G-LTE), MotoE2",Basemark OS II: 565 / Basemark OS II 2.0: 546Basemark X: 1851,Photo / Video,Voice 72dB / Noise 68dB / Ring 75dB,,Endurance rating 82h,,VGA,,,,,Active noise cancellation with dedicated mic,,,,,,Non-removable Li-Ion 2390 mAh battery,,,,,,,,"LTE band 1(2100), 3(1800), 7(2600), 20(800) - XT1524",,
GIONEE,GIONEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
